gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Kcnab3,41.68895533145323,0.0016022032097999979,0.02660800144329398,0.5694936783172839,0.7921432691118078
Txlng,310.4038933926751,0.00160154952839583,0.025209593662441736,0.8499150136827338,0.936382222074222
Rwdd1,472.0274188240356,0.0015971206406424304,0.025062830136914804,0.8798642967751409,0.9513122761458592
Pomk,114.60288664630181,0.0015950529654622106,0.026015975459996964,0.8041689976837713,0.9128101088960575
Yy1,1476.6186107261105,0.0015941914418472762,0.024827946299872762,0.8632757756732077,0.9432545986571023
2810408A11Rik,55.946134635188734,0.0015904491206491832,0.02630481337889541,0.7288824402645049,0.8783825406407613
Foxj2,1007.2887428564866,0.001587461551174664,0.02504950496689856,0.8233024304762332,0.9216478462273222
Camk2b,20.948558010456665,0.001583442858698568,0.026562944713118902,0.6201787258092131,0.8201060910163511
Rhbdd1,662.196242774775,0.001581072111037988,0.02496309599040614,0.8618482074282208,0.9424554987072986
Tmub2,750.2534990384796,0.001579911117393705,0.02441861521824835,0.6773778924084988,0.8503457913902757
Creb1,815.0056670752913,0.0015798072024841485,0.025552861099098857,0.8348058646480863,0.927270494759764
Arhgap26,47.81188219765498,0.0015769340565424028,0.02626590897932759,0.7523660380124425,0.8883136158829755
3110009E18Rik,30.005639626854997,0.0015766982572044507,0.026439184173111165,0.6971207510547458,0.8613166227717195
Mknk2,4963.08303022067,0.00157549781807736,0.02432127411047596,0.8678619661326878,0.9455519883200265
Neil1,187.7318928288045,0.0015746897329729115,0.026009099215595792,0.9313296370342788,0.9738553744733173
Prkce,125.82393645897281,0.001572699425945198,0.026378134670388933,0.7214686885630383,0.8740363038921273
Abtb1,913.0821073861231,0.0015703778765539219,0.025484560493472665,0.8129549949022169,0.9173100849218324
Ube2t,46.59788036176205,0.0015682234260650674,0.02660824507454213,0.575615526272633,0.7968099030314155
9930012K11Rik,752.4780597296592,0.0015677821031382384,0.0267229802426089,0.244388858309017,0.6126315762919247
Lce1b,9244.201386325933,0.0015650732170290427,0.026718032577980656,0.2763651979674213,0.6286381316715767
Krt6b,545.0166239358784,0.0015634341663679147,0.02673135774357738,0.17897708584214259,0.5908028284982928
Arv1,129.03147889681225,0.0015632238700610934,0.025721256662959654,0.826190730924348,0.9229658142081973
Blvrb,535.1846088008573,0.0015619982779528088,0.025096887818344522,0.8424422030024193,0.9313204797388206
Mis12,315.0295161607622,0.0015616201674951303,0.02570712993596897,0.8264890404268365,0.9229658142081973
Zfp810,165.0143086848113,0.0015592628921889974,0.025714867347948336,0.7801744198662183,0.8997243420105628
Zfhx3,18.612546668781842,0.0015567820822667768,0.026528144522174415,0.6528209017528737,0.8379786291680986
Fabp5,9981.771240701544,0.0015551081424404346,0.02648401850906435,0.6418866765469012,0.8327358551649722
Zcchc3,54.600630472215805,0.0015525043533333395,0.026589182723413277,0.5991647329194237,0.8079419804567057
Sprr2a3,72.03457988669541,0.0015519708629737538,0.026631137729038575,0.5438333082993121,0.7791064434396189
Siah1a,844.5287528172346,0.001549950895215512,0.025744505504102563,0.8429121895865594,0.9316156405455006
Desi2,565.791796371675,0.001549843274904382,0.024335578383819924,0.8149560671865981,0.9183659274452465
Nudt2,223.25308122262976,0.0015483707146268086,0.025273838731272126,0.8506599184056016,0.9366100122851736
Slfn2,63.91061929563056,0.0015482411772443905,0.026681966475528653,0.4306387508451558,0.7120499980238151
Qpct,39.50241656390662,0.001548209877757678,0.026605215340610007,0.6043353389352057,0.810812618788653
Zfp217,1196.555407055906,0.0015464924180578475,0.025250098842273316,0.8496353382164057,0.9362434266905274
Wdr83os,514.1919640217459,0.0015445060590670856,0.026007838086248604,0.7775055023690071,0.8987048895029992
Stxbp2,2038.9988939586704,0.0015405595938128487,0.023388031923387415,0.9167503586512222,0.968765852355364
Bcl6,1857.537815396609,0.0015391565547195208,0.025821903214624877,0.9061646137016127,0.9633336377597511
Dennd1c,106.35477588980787,0.0015383150064913387,0.02578198939960493,0.8220010404725566,0.92139848282276
Tfcp2l1,36.18397854426116,0.0015365877261849748,0.0263669899962784,0.7302686792259281,0.8786463300952609
Fat1,1822.977405631422,0.0015363142225955407,0.026147714087339687,0.5809108676767292,0.7989655792397371
Alkbh2,39.32185990099913,0.001534646343458814,0.02634883368122428,0.7361957797899725,0.8816534737758067
Prss16,38.583233091706774,0.0015335845766847164,0.026487977751920883,0.6799791411466081,0.8514065649115238
Kcnh6,34.45404401302243,0.001532139090539013,0.0265420734914319,0.6444342979622429,0.8345528116748768
Ofcc1,32.51417112286305,0.0015300153264639462,0.02666774946406832,0.4711095007391264,0.735129970375409
Caskin1,21.12756461691735,0.001529938394516165,0.02655733141870453,0.6323114912325416,0.8272606204559766
Gps1,1230.8941385612131,0.0015258432348961527,0.02479664503298765,0.8699187466573441,0.94647755713709
Upk3b,24.439369488081628,0.0015257589938891195,0.026687332635943504,0.4121703674553859,0.7012249108656565
Cdc40,669.1460120483082,0.0015257257891048547,0.02478626811584181,0.8807913688415906,0.9514095069053596
Hnrnpdl,3634.0252455226473,0.0015220119232633026,0.02539411943391549,0.8185263276659329,0.9201057621289962
Srr,196.79277401222677,0.001520813990645723,0.026014354901930464,0.8018736918469529,0.9121594012858475
Mrpl47,147.9246919160949,0.0015203750982844472,0.02532952948308662,0.8552846455676371,0.9387530317249572
Acadsb,1282.9008282161533,0.001519331987330276,0.025253453660281585,0.8552778232571138,0.9387530317249572
Pramel13,39.86710124410652,0.0015165097224339136,0.026541409655885133,0.6474381926045192,0.8354762821112374
Nelfa,482.7484717272317,0.0015160941564397027,0.025215771925038658,0.818750398306945,0.9202211159851632
Tef,7124.236608906698,0.0015133016230605648,0.02580164170685504,0.8745727191258771,0.9490014815533632
9030025P20Rik,137.18515434757217,0.00151206523713423,0.026271726307626583,0.7599353822102197,0.8926925559334755
Slc24a5,22.930604252548957,0.0015112558383202337,0.026585728296039533,0.6087604351923811,0.8129484141125484
Eif1,9842.012748974405,0.0015110963127189382,0.025583504639414348,0.8421260878710404,0.9313204797388206
Nt5c,536.6261558826988,0.0015095969359934867,0.02572237769809351,0.8343404726760528,0.9271041571153185
Ly6g5b,55.2636675351231,0.0015053892400880104,0.02664315887931762,0.5287197882966671,0.7696729813380685
Fam169b,99.38967465385196,0.0015049822179900372,0.02672676117931956,0.19102733938793756,0.5931871993408661
Tchhl1,42.983173757583785,0.0015028350711360646,0.026719077079495165,0.25054898487754823,0.615145279609244
Parp10,734.7045078982262,0.0015023220451198418,0.025504977997217584,0.8414926345098166,0.9309757324948325
Sprr4,115.1740654266039,0.0014994911978108562,0.026618666816503517,0.5721615987220081,0.7939230930786133
Dynlt1a,38.88166011418531,0.0014961300202629049,0.026539494821269913,0.6568265645528635,0.8401173791021036
Rbm8a,1278.7730439096613,0.001494101491456739,0.024461616123944204,0.8801242747217293,0.9514095069053596
Gorasp1,405.18314838564567,0.0014835695686345389,0.025469941406565087,0.8481954223257614,0.9357351123077784
Pgbd1,22.767147389037714,0.0014827867521124754,0.02652550723921703,0.6637521495125585,0.8438389944116019
Aox4,796.1489254387227,0.0014803310328607893,0.02656583876164933,0.6336954935590692,0.8280043112430437
Fbxl15,73.84350155712674,0.001475405795342396,0.026352901959964033,0.7435492532544006,0.8845252379873761
Tmem276,186.70570354556477,0.001463416095145586,0.025830734594457193,0.8273210342071293,0.9234312560463084
Plk2,989.0284559188627,0.001463415811654997,0.026406143562515715,0.7285293855650491,0.8783825406407613
Scgb2b27,77.02886394154277,0.0014625706165107314,0.02672644131073664,0.17337054985935313,0.5908028284982928
Cgref1,33.75919744628356,0.0014590806842727565,0.026670232001647573,0.47011060336441995,0.7343707501972981
Skida1,35.98975667647219,0.001458968211077552,0.026684915619347917,0.4220919443698577,0.7078769631074913
Krtap3-3,86.97810132284637,0.0014585795521564072,0.026650957869114412,0.5180342238087299,0.7635374589210789
Lonrf3,98.14741209347305,0.0014552067364500274,0.026459275315385826,0.7056654747781743,0.8659470668032331
Coprs,25.15458877187817,0.0014549307760477464,0.02650253632306174,0.6832497454782992,0.8534367819228285
Ehd4,737.1247191447513,0.0014545696088170742,0.025596071778516312,0.8422241946309136,0.9313204797388206
Zfp850,99.00273882826997,0.0014541738459798493,0.026145059689758682,0.7915702789601325,0.9069595324528633
Ttc30a1,38.54289153710094,0.0014539678493048294,0.02657580082489893,0.6269166021997941,0.8238296801423892
Apol9a,115.65388378578378,0.00145311842021647,0.026719017470862857,0.23568716208240498,0.6072106296765037
Leng9,174.01715830359987,0.001450969444797459,0.026112101617798027,0.8003189051772862,0.9112416095116709
Flt3l,120.33126062873268,0.001449099706706914,0.025955258849578746,0.88916280951478055,0.9550264684992901
Cdk9,1360.158451870764,0.0014476588933638643,0.025255892777195747,0.897813033198984,0.9591151052817284
Angptl6,58.91780001635956,0.0014414623923430009,0.026266350472958534,0.7718953102864621,0.8965583530574857
C9,23.827902853270572,0.0014406194690816884,0.026539883364972275,0.6606099765527241,0.8420392701759614
Smco3,60.93600233054447,0.0014401091090816794,0.026684009292185146,0.42622482306285037,0.709454649176325
Lonrf1,564.3395917204638,0.0014354915940211319,0.025887395859684262,0.9403129420092408,0.9764868011818416
Slc38a6,377.8608393248174,0.001430682141369796,0.02611587435295453,0.7792770347912389,0.8997243420105628
Thtpa,188.24968141403045,0.0014292325488378887,0.025908043335049546,0.7976717707460692,0.9098782070982174
Upk1a,18.500390430836283,0.0014277613441127026,0.026561406330843095,0.6446795359394746,0.8345528116748768
Cep95,266.5575649321592,0.0014274917787597018,0.025120455628042326,0.8685217950276055,0.9455935007181699
B2m,10526.971107997751,0.0014223157330295018,0.026359396574492506,0.7084127687146342,0.8672263964007441
Nup35,240.66682445849452,0.001419251081942686,0.02603664247545795,0.8058571913680042,0.9139599853320046
Sec61g,128.63087975277486,0.001414631429927342,0.026379095858842096,0.7446706270068815,0.8847472486784981
Msantd1,29.921136291947615,0.0014142988681140926,0.026496082681617298,0.6941316560792163,0.8594851536933636
Crnn,40.886203307444546,0.0014137616512850564,0.026705051521722787,0.3247010383104108,0.6530901083675985
Rangrf,117.15883378941214,0.0014126378166531056,0.02610105283167825,0.8035416349389858,0.912440026338142
Homez,134.51657585980828,0.0014124832364645326,0.026208512368282068,0.7792976424806641,0.8997243420105628
Sdc3,92.95348820264992,0.001406497344902365,0.02616413987670551,0.7955637630116162,0.9088853455336198
Casp9,420.84606222376243,0.0014062184883740585,0.02448366316289907,0.885280203174263,0.9536135026765735
Rerg,26.752966499499085,0.0014057415730129152,0.026525341892905153,0.6766969029139068,0.85026798351899
Syf2,1532.1435310243185,0.0014056321451215465,0.02496982682050396,0.8803220320571886,0.9514095069053596
Cdc26,502.714988437081,0.0014027388939806722,0.025836697157662892,0.8333982538997878,0.9263951575968171
Kmt2a,1441.3658125026482,0.0014001711164318194,0.026031686682848856,0.923322958190757,0.9708040130188975
Gclm,534.50775903414706,0.0013988478926462706,0.024865414130125593,0.8970348244916756,0.958902911810078
Kat6a,1822.5245470364964,0.0013969497175315385,0.025780468655626308,0.8490200531664753,0.9358218527409653
Mettl17,418.47639652245704,0.001396925571231313,0.02594300577340968,0.8185228530874542,0.9201057621289962
Defb14,48.947851473604494,0.0013947048765756507,0.026689795606032806,0.40301421017167754,0.698201934619531
Mier1,1032.4458830401013,0.0013937456205089338,0.025730809425978635,0.8228889445642178,0.9215096811108142
Cyb5d2,64.72904621390687,0.0013928198547742535,0.02622240849798106,0.7736326267653322,0.897169875254651
Bmp6,111.8274119692319,0.0013924296789971837,0.02633303752898105,0.7617311738550154,0.8930969965427441
Dact2,68.83673331803136,0.0013919992368811415,0.026642830080056044,0.5428780866170679,0.7782870945229158
Sec31b,86.93680411473505,0.0013917820603534673,0.026325555123800855,0.7634253362733674,0.8940508383945434
Nat10,725.9132327811235,0.0013914127379063995,0.02505229284028986,0.8670288438555902,0.9452360093684703
Hprt,893.6934531767029,0.0013875278840566904,0.024298208126404194,0.8877000783952407,0.9548894784479297
Shld3,69.53354942333223,0.0013833308573179142,0.02623823420270554,0.7817559465298807,0.9007123790971757
Cope,1928.8284543413774,0.0013826108785777254,0.025927000968110275,0.8280226567881159,0.92353286409254
Brcc3,497.5718308810749,0.0013812945619456553,0.024934921953734226,0.8798180771397147,0.9513122761458592
Selenok,1736.3560430191349,0.0013790558744504855,0.025318867060166752,0.8773487657386844,0.9503636536849286
Cage1,43.478985650354545,0.0013787600823915703,0.026362198491948548,0.7546211271482108,0.8897270097790237
